t=2026-07-02T10:54:48+0530 lvl=info msg="command usage" msg="Flag --region has been deprecated, ngrok automatically chooses the region with lowest latency"
t=2026-07-02T10:54:48+0530 lvl=info msg="no configuration paths supplied"
t=2026-07-02T10:54:48+0530 lvl=info msg="using configuration at default config path" path=C:\\Users\\Alex\\AppData\\Local\\ngrok\\ngrok.yml
t=2026-07-02T10:54:48+0530 lvl=info msg="open config file" path=C:\\Users\\Alex\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2026-07-02T10:54:48+0530 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-07-02T10:54:48+0530 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-07-02T10:54:48+0530 lvl=info msg="client session established" obj=tunnels.session
t=2026-07-02T10:54:48+0530 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-07-02T10:57:22+0530 lvl=info msg="join connections" obj=join id=30bdc0ea001b l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:52710
t=2026-07-02T10:57:23+0530 lvl=info msg="join connections" obj=join id=aa75d02e166c l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:52724
t=2026-07-02T10:57:28+0530 lvl=info msg="join connections" obj=join id=00452b798b75 l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:56072
t=2026-07-02T10:57:33+0530 lvl=info msg="join connections" obj=join id=d46ca50d2ee5 l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:56086
t=2026-07-02T10:57:39+0530 lvl=info msg="join connections" obj=join id=3b1d3e89205e l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:47646
t=2026-07-02T10:57:44+0530 lvl=info msg="join connections" obj=join id=0ad85d0160a3 l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:47648
t=2026-07-02T10:57:49+0530 lvl=info msg="join connections" obj=join id=023ca443608a l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:57858
t=2026-07-02T10:57:55+0530 lvl=info msg="join connections" obj=join id=0f83946a9dfd l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:57868
t=2026-07-02T10:58:01+0530 lvl=info msg="join connections" obj=join id=1b1c20f32010 l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:51982
t=2026-07-02T10:58:01+0530 lvl=info msg="join connections" obj=join id=715aae740cf8 l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:58102
t=2026-07-02T10:58:02+0530 lvl=info msg="join connections" obj=join id=c47436fb40bb l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:58102
t=2026-07-02T10:58:02+0530 lvl=info msg="join connections" obj=join id=d550d7b1532c l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:58102
t=2026-07-02T10:58:02+0530 lvl=info msg="join connections" obj=join id=e85eeb99a2e4 l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:58102
t=2026-07-02T10:58:02+0530 lvl=info msg="join connections" obj=join id=89c7ebbc69b4 l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:58102
t=2026-07-02T10:58:02+0530 lvl=info msg="join connections" obj=join id=f6755cf85ea1 l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:58102
t=2026-07-02T10:58:02+0530 lvl=info msg="join connections" obj=join id=695224b1868d l=[::1]:3000 r=[2409:40f2:2179:f018:8000::]:58102
